"Publisher";"NA_Sales";"EU_Sales";"JP_Sales";"Other_Sales"
CBS Electronics;1.0;1.0;1.0;1.0
SouthPeak Games;37.0;37.0;37.0;37.0
Universal Gamex;1.0;1.0;1.0;1.0
KSS;1.0;1.0;1.0;1.0
CCP;1.0;1.0;1.0;1.0
Ubisoft;921.0;921.0;921.0;921.0
Mattel Interactive;12.0;12.0;12.0;12.0
Boost On;1.0;1.0;1.0;1.0
BAM! Entertainment;35.0;35.0;35.0;35.0
DHM Interactive;3.0;3.0;3.0;3.0
Misawa;2.0;2.0;2.0;2.0
Activision;975.0;975.0;975.0;975.0
ChunSoft;18.0;18.0;18.0;18.0
Fortyfive;1.0;1.0;1.0;1.0
Paradox Development;1.0;1.0;1.0;1.0
Quelle;1.0;1.0;1.0;1.0
"3DO";36.0;36.0;36.0;36.0
"";84.0;84.0;84.0;84.0
Flashpoint Games;2.0;2.0;2.0;2.0
BushiRoad;1.0;1.0;1.0;1.0
Mycom;1.0;1.0;1.0;1.0
Sony Computer Entertainment America;3.0;3.0;3.0;3.0
Milestone S.r.l.;16.0;16.0;16.0;16.0
Nintendo;703.0;703.0;703.0;703.0
GN Software;3.0;3.0;3.0;3.0
Marvelous Entertainment;12.0;12.0;12.0;12.0
Gust;13.0;13.0;13.0;13.0
SCS Software;1.0;1.0;1.0;1.0
O-Games;17.0;17.0;17.0;17.0
Technos Japan Corporation;1.0;1.0;1.0;1.0
RED Entertainment;1.0;1.0;1.0;1.0
Ackkstudios;10.0;10.0;10.0;10.0
Konami Digital Entertainment;832.0;832.0;832.0;832.0
Hudson Soft;81.0;81.0;81.0;81.0
ValuSoft;4.0;4.0;4.0;4.0
Core Design Ltd.;2.0;2.0;2.0;2.0
SCi;17.0;17.0;17.0;17.0
Mamba Games;2.0;2.0;2.0;2.0
Arena Entertainment;2.0;2.0;2.0;2.0
"20th Century Fox Video Games";5.0;5.0;5.0;5.0
BMG Interactive Entertainment;7.0;7.0;7.0;7.0
DSI Games;6.0;6.0;6.0;6.0
Marvelous Games;1.0;1.0;1.0;1.0
Commseed;1.0;1.0;1.0;1.0
Reef Entertainment;7.0;7.0;7.0;7.0
Focus Home Interactive;58.0;58.0;58.0;58.0
Origin Systems;1.0;1.0;1.0;1.0
Michaelsoft;1.0;1.0;1.0;1.0
Graffiti;6.0;6.0;6.0;6.0
NDA Productions;1.0;1.0;1.0;1.0
Ubisoft Annecy;14.0;14.0;14.0;14.0
Quest;1.0;1.0;1.0;1.0
Mitsui;1.0;1.0;1.0;1.0
SquareSoft;52.0;52.0;52.0;52.0
DreamWorks Interactive;1.0;1.0;1.0;1.0
Hackberry;7.0;7.0;7.0;7.0
Big Ben Interactive;7.0;7.0;7.0;7.0
Bohemia Interactive;1.0;1.0;1.0;1.0
Tecmo Koei;338.0;338.0;338.0;338.0
Majesco Entertainment;92.0;92.0;92.0;92.0
TGL;4.0;4.0;4.0;4.0
Ultravision;1.0;1.0;1.0;1.0
Harmonix Music Systems;2.0;2.0;2.0;2.0
Screenlife;6.0;6.0;6.0;6.0
Vatical Entertainment;2.0;2.0;2.0;2.0
CTO SpA;2.0;2.0;2.0;2.0
Ivolgamus;1.0;1.0;1.0;1.0
Culture Publishers;1.0;1.0;1.0;1.0
Griffin International;1.0;1.0;1.0;1.0
Visco;1.0;1.0;1.0;1.0
Gathering of Developers;9.0;9.0;9.0;9.0
Monte Christo Multimedia;1.0;1.0;1.0;1.0
Paon Corporation;1.0;1.0;1.0;1.0
Pioneer LDC;4.0;4.0;4.0;4.0
MTV Games;41.0;41.0;41.0;41.0
Jester Interactive;3.0;3.0;3.0;3.0
Phoenix Games;1.0;1.0;1.0;1.0
Popcorn Arcade;10.0;10.0;10.0;10.0
Microsoft Game Studios;189.0;189.0;189.0;189.0
Foreign Media Games;9.0;9.0;9.0;9.0
